,Return,Return-7,Return+1,Return-30,target_multi,target_bin,Month,DayOfW,Return_eth,Return_bnb,Return_ada,Return_lite,Trend_Bitcoins,R_eth,R_bnb,R_ada,R_lite,Date,avg-block-size,cost-per-transaction,hash-rate,miners-revenue,mvrv,my-wallet-n-users,n-transactions-per-block,nvt,transaction-fees-usd
1563,-2.5825,-15.1615,2.7778,1.7522,1.0,1.0,2,2,-1.8598,-2.0732,-2.2295,-1.4442,14.88,0.9840955870237679,0.9833708552533192,0.9710861025613788,0.9705834669885638,2022-02-23,1.3138973636363636,117.49835094241264,183513619.49715608,30647564.869713254,1.5856010885434917,81557938.0,1925.2954545454545,4.575036780233781,375059.905802131
1564,2.8275,-5.4403,2.2999,3.7306,1.0,1.0,2,3,0.3825,-1.3961,-1.7374,-1.6152,24.0,0.8183444476046375,0.6579833309511496,0.535717433772758,0.6002291690104558,2022-02-24,1.2936352238805964,126.7742831704484,186294128.8834766,33004416.88059454,1.5363333745773768,81564607.0,1942.8358208955224,4.939649513404161,447494.8342314189
1565,2.2969,-2.0403,-0.2781,6.4097,0.0,0.0,2,4,6.3923,3.7925,5.2081,4.827,17.28,0.8751488488268195,0.7106487287094406,0.6659055259047869,0.7494015004706528,2022-02-25,1.1652993200000008,141.44569895676358,173781836.64503416,33937773.77919107,1.6381059604780268,81584827.0,1763.384,4.702760090870322,288723.44843836746
1566,-0.2752,-2.5348,-3.5682,5.2962,-1.0,0.0,2,5,0.5831,-0.3334,-1.1223,-0.9339,14.4,0.8844260885522076,0.5629786823215217,0.5963589162734563,0.6507460920918942,2022-02-26,1.0207118823529415,157.2105471560619,189074638.2697972,33197207.97966266,1.6264581534909472,81591762.0,1552.6764705882354,4.70917464922213,269531.6386334636
1567,-3.5523,-1.8776,14.5412,-0.1973,1.0,1.0,2,6,-5.7077,-3.4981,-3.3176,-4.741,13.92,0.8928092752872903,0.7327453833089781,0.7254553710638186,0.7362737996539818,2022-02-27,1.1689610000000001,141.05921645513303,214099222.7466821,38215480.803591736,1.6377469149589063,81611106.0,1759.2077922077924,7.356265201052335,370726.8318415056
1568,14.5527,16.5014,2.6889,13.2546,1.0,1.0,2,0,11.3701,9.7758,11.885,10.0622,17.04,0.9040967320589038,0.972140212611879,0.9711687368738042,0.9218322682970983,2022-02-28,1.2820745185185185,160.43177724595222,225221260.29196423,45022611.37564056,1.5727805986002863,81621502.0,1732.3086419753085,6.548549780111108,850803.8469398128
1569,2.6858,15.8507,-0.9706,16.9764,0.0,0.0,3,1,1.8052,3.2501,0.2563,-0.8214,20.0,0.9660291636152358,0.9906396163450859,0.9849559318090506,0.8977534480849505,2022-03-01,1.5223956323529415,134.43077519063505,189074638.2697972,38804384.27420314,1.8079125704053347,81632031.0,2122.4779411764707,4.104452375996903,1290686.9334437049
1570,-0.9773,17.7699,-3.352,14.1386,-1.0,0.0,3,2,-0.752,0.1179,-2.4691,-1.945,17.0,0.973745005978102,0.9891171889309048,0.9671522495664269,0.8909962839947352,2022-03-02,1.2709558243243246,152.3003964801671,204908164.05639085,40853667.55342594,1.8332064372856505,81655414.0,1812.4594594594596,3.747333972001429,873793.4779646767
1571,-3.3544,10.7459,-7.8069,9.572,-1.0,0.0,3,3,-3.9214,-1.5847,-3.8417,0.9023,16.0,0.9919698331622805,0.9737091406616945,0.917643942895201,0.9219843593379853,2022-03-03,1.31741837410072,138.6256674456985,190365286.6455021,36333926.06318503,1.7608188602674546,81662780.0,1885.6187050359713,4.630301935416269,628100.1686782254
1572,-7.8207,-0.1954,0.6719,5.9119,0.0,1.0,3,4,-7.6837,-7.0283,-6.6354,-8.9945,15.4,0.9962421335417613,0.9516881216834907,0.9472620084627713,0.9084277714232888,2022-03-04,1.2012880081300812,137.25674959360114,168452735.66472492,31045143.39332949,1.7186615469227178,81686478.0,1831.878048780488,4.74297572830956,442387.1433294899
1573,0.6441,0.7555,-2.4888,6.045,-1.0,0.0,3,5,1.7704,2.7859,2.6681,3.5192,13.8,0.99676189117818,0.9697555263797645,0.9774102069779724,0.9317142481076182,2022-03-05,1.0678801908396949,156.18155828387103,179409011.15511352,32347699.625522234,1.6183981228860738,81699999.0,1581.0381679389313,5.353742887115644,369366.3911864932
1574,-2.4977,1.8833,-0.9317,-7.4237,0.0,0.0,3,6,-4.1241,-2.5722,-4.8442,-3.226,13.0,0.9946719298191159,0.9774722945868288,0.9798562161269705,0.9306375480518447,2022-03-06,1.1802086689189193,140.29395568292895,202691096.5721893,35836828.33360305,1.63725243360733,81707495.0,1725.9527027027027,7.685237102226501,432307.8258306648
1575,-0.9557,-11.8796,1.774,-8.154,1.0,1.0,3,0,-2.2513,1.6725,-3.1999,-2.6838,15.8,0.9790785911812843,0.8988979022052072,0.9314036007831386,0.9684043625916302,2022-03-07,1.2435277229729729,141.57288510298898,202691096.5721893,36210238.39567659,1.6095511899227408,81728715.0,1728.1824324324325,5.853334172492048,409089.18821527256
1576,1.7797,-12.6647,8.3786,-8.6653,1.0,1.0,3,1,3.1639,0.1846,0.5113,1.7763,15.8,0.990163741849355,0.16617320029979293,0.8603704367108475,0.8380992914522412,2022-03-08,1.249582333333333,133.00467522050386,188995752.20920357,36284340.42352956,1.6188766414036957,81737852.0,1976.8478260869565,4.6099042357904265,469664.53277158213
1577,8.3631,-4.4194,-6.0631,-4.2366,-1.0,0.0,3,2,5.9219,3.0136,5.9649,6.2813,18.6,0.9234907423401524,0.9017605760111945,0.6305888048367213,0.8964353191790474,2022-03-09,1.2813420689655166,139.62169866886563,198582493.2632936,36518474.15193781,1.6265664915735814,81759123.0,1803.8137931034478,2.0411820834970698,462278.05919168104
1578,-6.0433,-7.1006,-1.6291,-10.61,-1.0,0.0,3,3,-4.4362,-5.4187,-5.0673,-4.0012,17.2,0.9793456123025528,0.7107966447015325,0.8400456691390585,0.9661267060592318,2022-03-10,1.231351152173913,135.63515438289582,188995752.20920357,34515891.546741806,1.6294918576542337,81774920.0,1828.8623188405802,3.112492308421084,434537.67571674346
1579,-1.6354,-0.8755,0.2811,-12.5033,0.0,1.0,3,4,-1.8675,-0.0032,-2.0063,2.2561,15.2,0.9817114012106387,0.676277323136793,0.9568942326685851,0.8146711905712777,2022-03-11,0.9416506089743588,170.70658455438513,213647372.0625779,38434246.099250704,1.61140390127488,81795893.0,1443.2564102564102,3.8907915606422208,308297.98370978714
1580,0.2824,-1.2603,-2.7101,-10.6992,-1.0,0.0,3,5,0.5897,0.1462,0.0761,0.8266,12.8,0.9939336085359042,0.8330800808524861,0.9761881816275718,0.578920377501752,2022-03-12,0.8933613178807945,179.93501243774685,206799699.88108504,37950813.21329494,1.6223220645893162,81804318.0,1378.0927152317881,4.699608866210047,267569.94397424464
1581,-2.6619,-1.4844,4.8008,-10.7486,1.0,1.0,3,6,-2.1194,-2.8875,0.0541,-3.4944,12.4,0.9975722287038669,0.9845454636709737,0.9622819560272242,0.6998633098299057,2022-03-13,1.1300726797385627,143.99373218996132,209538768.75368217,37379620.92665644,1.6151027537084508,81812200.0,1696.6797385620914,5.799195513255167,400146.42923732474
1582,4.8101,4.2161,-0.8268,-6.1019,0.0,0.0,3,0,2.8672,3.2146,1.7086,3.4888,14.8,0.9505850159152541,0.8836940362720815,0.7715424479091301,0.490439324427155,2022-03-14,1.2323800863309344,130.43491924766118,190365286.6455021,34327601.17776097,1.5802110548322172,81832073.0,1893.3669064748199,5.260565482474265,383493.33515516063
1583,-0.8205,1.5528,4.5887,-6.7746,1.0,1.0,3,1,1.138,-0.4936,-0.4771,1.2518,13.2,0.8944436094800963,0.8828810329623683,0.7812644789342907,0.8786826460329774,2022-03-15,1.2122472193548388,142.93025002002247,212277837.62627932,39891546.92008823,1.6182871704691753,81844164.0,1783.161290322581,4.7132089386738105,417927.9197169556
1584,4.5973,-1.9984,-0.468,-3.3883,0.0,0.0,3,2,5.8025,3.7642,4.7936,4.0969,13.2,0.955442547803177,0.976776252421328,0.9232736333024371,0.9617870567314478,2022-03-16,1.177280188679246,147.4778726199178,217523034.5085692,41116830.88643309,1.6712078315944834,81868373.0,1753.4591194968552,4.9031985855284725,430162.48729507584
1585,-0.4605,3.8388,2.0751,-8.1297,1.0,1.0,3,3,1.5473,1.6513,-0.1882,-0.9346,12.8,0.9420329402358689,0.960466975212383,0.9470262600750385,0.9754414264869319,2022-03-17,1.280325048951049,141.43408331860388,195149454.7366269,36959271.78465093,1.6973693703031298,81877195.0,1827.3986013986014,4.40785790093408,433915.2798943697
1586,2.0914,7.7489,0.9318,-4.9149,0.0,1.0,3,4,4.6513,1.4975,2.0051,1.6431,12.8,0.9593366593190146,0.9636082376950668,0.9975139820711028,0.9533629473275189,2022-03-18,1.0357431741935483,168.67031647759654,211525632.75648364,40889732.80176486,1.6717264526042248,81886626.0,1564.0258064516129,5.301952005338259,336682.33850951213
